2400,-23185864#4_1,50_1000009_1__25
2400,-23185864#4_1,18_1000009_1__29
2400,-23185864#4_1,82_1000009_1__39
2400,-23185864#4_1,16_1000009_1__70
2400,-23185864#4_1,105_1000009_1__31
2400,-23185864#4_1,16_1000009_1__17
2400,-23185864#4_1,16_1000009_1__8
2400,-23185864#4_1,50_1000009_1__32
2400,-23185864#4_1,50_1000009_1__65
2400,-23185864#4_1,18_1000009_1__10
2400,-23185864#4_1,105_1000009_2__8
2400,-23185864#4_1,16_1000009_1__104
2400,-23185864#4_1,14_1000009_1__25
2400,-23185864#7_1,1000002_1000009_1__33
2400,-23185864#7_1,1000021_129_1__0
2400,-23185864#7_1,1000002_1000009_1__23
2400,-23185864#7_1,50_1000009_1__53
2400,-23185864#7_1,18_1000009_1__0
2400,-23185864#7_1,18_1000009_1__59
2400,-23185864#7_1,50_1000009_1__79
2400,-23185864#7_1,81_1000009_1__14
2400,-23185864#7_1,18_1000009_1__6
2400,-23185864#7_1,81_1000009_1__13
2400,-23185864#7_1,1000021_1000009_1__18
2400,-23185864#7_1,18_1000009_1__43
2400,-23185864#7_1,82_1000009_1__11
2400,-23185864#7_1,81_1000009_1__4
2400,-23185864#7_1,18_1000009_1__18
2400,-23185864#7_1,81_1000009_1__17
2400,-23185864#7_1,81_1000009_1__8
2400,-23185864#7_1,50_1000009_1__81
2400,-23185864#7_1,1000021_129_1__2
2400,135982505#3_0,1000020_1000011_1__99
2400,135982505#3_0,1000020_50_1__48
2400,135982505#3_0,1000020_16_1__37
2400,135982505#3_0,1000020_1000005_1__26
2400,135982505#3_0,1000020_1000016_1__39
2400,135982505#3_0,71_1000011_1__29
2400,135982505#3_0,1000014_107_1__29
2400,135982505#3_0,1000020_107_1__41
2400,135982505#3_0,1000020_105_1__20
2400,135982505#3_0,20_1000011_1__17
2400,135982505#3_0,1000020_1000004_1__3
2400,135982505#3_0,1000020_1000011_1__102
2400,135982505#3_0,1000020_50_1__55
2400,135982505#3_0,1000020_128_1__4
2400,135982505#3_0,1000020_1000011_1__179
2400,135982505#3_0,1000020_1000005_1__17
2400,135982505#3_0,1000020_1000011_1__68
2400,135982505#3_0,1000020_1000011_1__33
2400,135982505#3_0,1000020_50_1__38
2400,135982505#3_0,1000020_1000005_1__31
2400,135982505#3_0,20_1000016_1__11
2400,135982505#3_0,1000014_15_1__0
2400,135982505#3_0,20_1000005_1__4
2400,135982505#3_0,1000014_107_1__20
2400,135982505#3_0,1000020_18_1__3
2400,23210836#3_0,1000009_1000010_1__15
2400,23210836#3_0,1000005_91_1__4
2400,23210836#3_1,1000002_1000000_1__0
2400,23210836#3_1,1000020_1000000_1__14
2400,23210836#3_1,15_1000000_2__9
2400,23210836#3_1,71_1000000_1__46
2400,23210836#3_1,16_1000000_1__46
2400,23210836#3_1,14_1000000_1__6
2400,23210836#3_1,105_1000000_2__10
2400,23210836#3_1,22_1000000_1__1
2400,23210836#3_1,1000015_1000000_1__29
2400,23210836#3_1,1000002_1000000_1__66
2400,23210836#3_1,71_1000000_1__34
2400,23210836#3_1,18_1000000_2__40
2400,23210836#3_1,106_1000000_2__7
2400,23210836#3_1,1000014_1000000_1__2
2400,23210836#3_1,20_1000000_1__7
